@relation expressiontrain

@attribute mouthw NUMERIC
@attribute mouthh NUMERIC
@attribute reyew NUMERIC
@attribute reyeh NUMERIC
@attribute leyew NUMERIC
@attribute leyeh NUMERIC
@attribute nosew NUMERIC
@attribute decision NUMERIC {0,1,2}
@data
7.974346719,32.26086957,11.61932788,13.49090909,53,14.5462236,53,0
7.51399121,37.6,11.24246697,13.19298246,50.13333333,13.92353869,50.13333333,0
7.15087165,29.73622053,11.1231835,12.82568003,43.68918433,13.51833794,43.76470588,0
6.876105518,29.97602876,11.20393145,12.29343018,41.66666667,12.69546317,39.47368421,0
7.356103737,27.00263195,11.00409682,13.29619957,39.83959551,14.02741933,42.11111111,0
7.356103737,27.00263195,11.00409682,13.29619957,39.83959551,14.02741933,42.11111111,0
3.210806495,6.163335514,2.345509682,9.264821092,4.23999152,9.355605394,4.040610178,0
6.857769237,32.52173913,11.01037912,12.46666667,39.36842105,12.43905497,37.4,0
7.472559206,30.77538953,11.51085478,13.27388928,40.52631579,13.74780824,42.71191511,0
5.958877342,22.86911054,10.08267892,13.4050354,71.11790279,13.67429977,79.87836908,1
5.641957668,25.19949024,9.752692057,13.16666667,70.22222222,13.7358851,69.79272448,1
5.797921143,24.30769231,9.752692057,13.43465045,69.79272448,13.72616287,69.79272448,1
5.618181818,24.7002477,9.252700804,12.60961926,77.25,13.14596096,77.25,1
5.777530118,22.27151504,9.484848485,12.99717974,62.09032067,12.98872995,77.39767438,1
5.708855011,19.625,9.544359067,13.36170213,69.77777778,13.08049499,69.35099838,1
5.552686186,17.77142857,9.454545455,12.95833333,77.75,13.50897675,77.14960491,1
7.818181818,28.66666667,14.66666667,16.86598762,43,16.86598762,43,1
5.921037791,20.42752806,10.06258065,13.03834384,54.31174382,13.34416019,59.45454545,1
7.270775317,12.97042258,11.44657465,11.61224818,38.94117647,11.96537529,36.72115299,2
8.044832189,13.15141453,12.03323602,11.791351,35.95024186,11.55181289,34.15732999,2
7.828283227,13.78897323,11.92394744,12.31946453,43.125,11.8683608,40.58823529,2
7.902135438,14.0687495,11.95923252,12.57142857,37.00141852,12.30363168,36.84904415,2
8.147475296,14.48677941,11.85186109,12.88993005,41.69263559,12.40849218,39.38371393,2
7.969483184,13.6513221,11.86007956,12.45422387,39.44444444,12.40849218,39.38371393,2
8.450845531,15.47535685,12.15148679,12.98138572,40.19707549,12.50534262,38.31578947,2
7.960108259,14.94536555,11.98502807,12.37195703,39.82747409,12.33356593,35.85520897,2
8.386282583,13.36120944,12.26942423,12.66666667,40.11111111,12.40227661,37.94747751,2
